,id,cosine,confidence,field,field1,field2
1393802532,,,,,,
1396035721,,,,,,
1396469849,,,,,,
1396445426,,,,,,
1398261084,,,,,,
1398148582,,,,,,
1397159147,,,,,,
1412411294,,,,,,
1403726195,,,,,,
1411315705,,,,,,
1412769478,,,,,,
1413339065,,,,,,
1402319988,,,,,,
1418603316,,,,,,
1419526418,,,,,,
1418163855,,,,,,
1421402706,,,,,,
1421164761,,,,,,
1422665670,,,,,,
1394395690,,,,,,
1401099748,,,,,,
1402346262,,,,,,
1398855818,,,,,,
1398261117,,,,,,
1406020601,,,,,,
1410046888,,,,,,
1406078843,,,,,,
1411250836,,,,,,
1413191796,,,,,,
1404056608,,,,,,
1404140165,,,,,,
1419720298,,,,,,
1402286656,,,,,,
1420086921,,,,,,
1421083948,,,,,,
1420851117,,,,,,
1421402571,,,,,,
1420159171,,,,,,
1396844010,1406120222,0.6872945427894592,possible,,_source.text,_source.text
1394314252,1394607370,0.7657631635665894,likely,,_source.text,_source.text
1395102909,,,,,,
1398261049,,,,,,
1392203684,,,,,,
1391078681,,,,,,
1406721540,,,,,,
1407062816,,,,,,
1409362462,1409592105,0.6666156053543091,possible,,_source.text,_source.text
1409795557,,,,,,
1409795335,,,,,,
1405201062,,,,,,
1411937186,,,,,,
1402314534,,,,,,
1402569951,,,,,,
1403835647,,,,,,
1404396927,,,,,,
1414750469,,,,,,
1420806603,1421845160,0.6363118290901184,possible,,_source.text,_source.text
1421402921,,,,,,
1420095545,,,,,,
1303859911,1415872779,0.652357280254364,possible,,_source.text,_source.text
1292611517,,,,,,
1292237110,,,,,,
1308373888,1311177518,0.6991693377494812,possible,,_source.text,_source.text
1310313088,,,,,,
1311036922,,,,,,
1298158838,,,,,,
1318026646,,,,,,
1318939645,1338037901,0.7001417279243469,possible,,_source.text,_source.text
1297057051,,,,,,
1302711982,,,,,,
1293824214,,,,,,
1300996650,,,,,,
1315266682,,,,,,
1317214760,,,,,,
1323026317,,,,,,
1323255835,,,,,,
1364124094,,,,,,
1361439182,,,,,,
1363034152,,,,,,
1363176437,,,,,,
1361340693,,,,,,
1361968876,,,,,,
1357133456,,,,,,
1357157141,,,,,,
1356892523,,,,,,
1360701512,,,,,,
1360477264,,,,,,
1355296458,,,,,,
1355497715,,,,,,
1354735459,,,,,,
1354367915,1397355252,0.6652584671974182,possible,,_source.pretext,_source.text
1367775248,,,,,,
1375903757,,,,,,
1372658949,,,,,,
1368819877,,,,,,
1368819881,,,,,,
1379309197,,,,,,
1378492687,,,,,,
1380493741,,,,,,
1380952086,,,,,,
1379539862,,,,,,
1381618736,,,,,,
1384450241,,,,,,
1387504896,,,,,,
1389633633,,,,,,
1353328396,,,,,,
1363617161,,,,,,
1363134689,,,,,,
1361141242,,,,,,
1360865952,,,,,,
1365251868,1369847445,0.6310354471206665,possible,,_source.text,_source.summary
1367065421,,,,,,
1355510919,,,,,,
1355462748,,,,,,
1354735469,,,,,,
1353826781,,,,,,
1366908348,1367993887,0.6396848559379578,possible,,_source.text,_source.text
1380165332,,,,,,
1375817000,,,,,,
1375826280,,,,,,
1370945176,,,,,,
1378730240,,,,,,
1377283110,,,,,,
1377603436,,,,,,
1373371385,1399104394,0.6658239960670471,possible,,_source.text,_source.text
1369707640,,,,,,
1369335491,,,,,,
1368819878,,,,,,
1385024490,,,,,,
1385497673,,,,,,
1385475822,,,,,,
1385777978,,,,,,
1387469542,,,,,,
1389340792,,,,,,
1390619521,,,,,,
1356409332,,,,,,
1357173510,,,,,,
1358157451,,,,,,
1362370076,,,,,,
1356052946,,,,,,
1362883309,1402395933,0.6253129243850708,possible,,_source.text,_source.text
1364156619,,,,,,
1364327027,,,,,,
1360443299,,,,,,
1370289825,,,,,,
1369668196,,,,,,
1368802917,,,,,,
1371002004,,,,,,
1376235427,1394607370,0.8079704642295837,likely,,_source.text,_source.text
1367064914,,,,,,
1378266235,,,,,,
1376414282,,,,,,
1369617311,,,,,,
1370128416,,,,,,
1366715846,,,,,,
1379691487,,,,,,
1381722955,,,,,,
1379746696,,,,,,
1382108358,,,,,,
1384654972,1388189956,0.756904661655426,likely,,_source.text,_source.text
1384385383,,,,,,
1385039644,,,,,,
1385124382,,,,,,
1386929194,,,,,,
1387236195,,,,,,
1388641133,,,,,,
1390920794,,,,,,
1396318373,,,,,,
1396368297,,,,,,
1395675565,,,,,,
1396862586,,,,,,
1393694163,,,,,,
1402075808,,,,,,
1405613499,1406120237,0.7920659780502319,likely,,_source.pretext,_source.text
1410047538,,,,,,
1409323075,,,,,,
1412074658,,,,,,
1412750430,,,,,,
1411478215,,,,,,
1411855190,,,,,,
1404139696,,,,,,
1403835654,,,,,,
1406565293,,,,,,
1402937635,,,,,,
1402983939,,,,,,
1414779039,,,,,,
1413911777,,,,,,
1416682286,,,,,,
1419741305,,,,,,
1421402572,,,,,,
1421917738,,,,,,
1420823224,,,,,,
1423421871,,,,,,
1396005389,,,,,,
1396987912,,,,,,
1399180978,,,,,,
1394716460,,,,,,
1393817207,,,,,,
1395028474,,,,,,
1395487838,,,,,,
1398917934,,,,,,
1398261115,,,,,,
1398261287,,,,,,
1392204022,1393936682,0.6081315279006958,possible,,_source.text,_source.text
1406081416,,,,,,
1406058965,,,,,,
1406038767,,,,,,
1405047151,,,,,,
1405442564,1411895144,0.6167683601379395,possible,,_source.pretext,_source.text
1411337681,,,,,,
1409698535,,,,,,
1417417199,,,,,,
1419013635,,,,,,
1416682288,,,,,,
1419477358,,,,,,
1419834852,,,,,,
1414383597,1415872779,0.6563059687614441,possible,,_source.text,_source.text
1414119581,,,,,,
1421693651,,,,,,
1423061527,,,,,,
1359765370,,,,,,
1361968894,,,,,,
1362329763,,,,,,
1362370007,,,,,,
1363121405,1411427394,0.6624210476875305,possible,,_source.text,_source.summary
1361647087,,,,,,
1361647089,,,,,,
1354735596,,,,,,
1376132104,,,,,,
1376568877,,,,,,
1371608886,,,,,,
1371397346,,,,,,
1378513476,,,,,,
1378932476,,,,,,
1378861213,,,,,,
1379221930,1406120222,0.7395136952400208,possible,,_source.text,_source.text
1378499148,,,,,,
1375735072,,,,,,
1367065174,,,,,,
1367750609,,,,,,
1368294699,,,,,,
1378269351,,,,,,
1368820830,,,,,,
1368821501,,,,,,
1369440032,,,,,,
1379647507,,,,,,
1380951897,,,,,,
1384353308,,,,,,
1386707929,,,,,,
1387186326,,,,,,
1387518494,,,,,,
1388536623,,,,,,
1398887755,,,,,,
1397921694,,,,,,
1394382769,,,,,,
1393884567,1393936682,0.6651138663291931,possible,,_source.pretext,_source.text
1399416061,,,,,,
1396424170,,,,,,
1397470685,1396749118,0.6143240928649902,possible,,_source.pretext,_source.text
1397191577,,,,,,
1393205429,,,,,,
1401445177,,,,,,
1406302314,,,,,,
1411201609,,,,,,
1411039703,,,,,,
1409795304,,,,,,
1403432166,,,,,,
1403464973,,,,,,
1403716208,,,,,,
1404472447,,,,,,
1412612715,,,,,,
1412254626,,,,,,
1412836420,,,,,,
1402914837,,,,,,
1420044740,,,,,,
1420709221,,,,,,
1421164762,,,,,,
1422483351,,,,,,
1422593732,,,,,,
1423354720,,,,,,
1397099001,,,,,,
1397451365,,,,,,
1395623367,,,,,,
1394537741,1398115755,0.76646888256073,likely,,_source.text,_source.text
1394671707,,,,,,
1394685017,,,,,,
1393600448,1394607370,0.6886424422264099,possible,,_source.text,_source.text
1393895869,,,,,,
1401919355,,,,,,
1402966698,,,,,,
1409795332,,,,,,
1410706038,,,,,,
1409616352,,,,,,
1411349951,,,,,,
1403835718,,,,,,
1414647175,,,,,,
1414776016,,,,,,
1413898266,,,,,,
1415464527,,,,,,
1415386903,,,,,,
1416682293,,,,,,
1418328605,,,,,,
1418343632,,,,,,
1419475079,,,,,,
1422412515,,,,,,
1422045679,,,,,,
1420870877,,,,,,
1421917739,,,,,,
1361130303,,,,,,
1361117946,,,,,,
1363382737,,,,,,
1361724623,,,,,,
1357384460,,,,,,
1356508798,,,,,,
1354368419,,,,,,
1355956663,,,,,,
1361647088,,,,,,
1354735456,,,,,,
1368270508,1372475580,0.6795852780342102,possible,,_source.pretext,_source.text
1377217335,,,,,,
1372634668,,,,,,
1371397390,,,,,,
1369383693,,,,,,
1371060517,,,,,,
1370114544,1382195984,0.73740553855896,possible,,_source.pretext,_source.text
1367348097,,,,,,
1378658990,,,,,,
1378793758,1394607370,0.7739204168319702,likely,,_source.text,_source.text
1379164191,,,,,,
1379249218,,,,,,
1378566737,1382165472,0.6111693978309631,possible,,_source.text,_source.text
1377688692,,,,,,
1380835712,,,,,,
1384633468,,,,,,
1384969050,,,,,,
1385600375,,,,,,
1384676543,,,,,,
1387631776,,,,,,
1388814716,1399104394,0.6332342624664307,possible,,_source.pretext,_source.text
1390557829,,,,,,
1389799452,,,,,,
1394620683,,,,,,
1396198737,1406120222,0.7438014149665833,possible,,_source.text,_source.text
1395653594,,,,,,
1397402421,,,,,,
1393407886,,,,,,
1394096594,,,,,,
1393934560,,,,,,
1394083415,,,,,,
1398261116,,,,,,
1398261101,,,,,,
1406477426,,,,,,
1403835717,,,,,,
1403835843,,,,,,
1409330535,1416471312,0.7966983318328857,likely,,_source.text,_source.text
1411380647,,,,,,
1405461202,,,,,,
1405425621,,,,,,
1403010950,,,,,,
1408887851,,,,,,
1413774099,,,,,,
1414855292,,,,,,
1414794155,,,,,,
1414359996,,,,,,
1418350548,,,,,,
1419067116,,,,,,
1421164753,,,,,,
1421402705,,,,,,
1421972048,,,,,,
1422583613,,,,,,
1339341852,1341415213,0.7884278297424316,likely,,_source.text,_source.text
1342143824,,,,,,
1342026345,,,,,,
1339358328,,,,,,
1338609481,,,,,,
1336806565,,,,,,
1337464134,,,,,,
1329953713,,,,,,
1332036670,,,,,,
1333218768,,,,,,
1337128855,,,,,,
1330315566,,,,,,
1330315541,,,,,,
1332470722,,,,,,
1333197045,,,,,,
1326261536,,,,,,
1348757259,,,,,,
1349918453,,,,,,
1352322748,,,,,,
1352763860,,,,,,
1331993681,1333087124,0.6517123579978943,possible,,_source.text,_source.text
1334785024,,,,,,
1325143507,,,,,,
1325955922,,,,,,
1324604550,,,,,,
1326862438,1362709086,0.6177608370780945,possible,,_source.text,_source.text
1331993671,,,,,,
1340883938,,,,,,
1340883912,,,,,,
1337464135,,,,,,
1344770081,,,,,,
1345885848,,,,,,
1345619037,,,,,,
1341683244,1422690131,0.6339744329452515,possible,,_source.text,_source.summary
1336908395,,,,,,
1347648918,,,,,,
1347279837,,,,,,
1348757250,,,,,,
1348757253,,,,,,
1348757292,,,,,,
1353302009,1357791884,0.6896666288375854,possible,,_source.text,_source.text
1373188294,,,,,,
1377864827,,,,,,
1375831983,,,,,,
1370114531,,,,,,
1370996743,,,,,,
1368819880,,,,,,
1368819876,,,,,,
1373575547,,,,,,
1363820502,,,,,,
1363851668,,,,,,
1360865835,,,,,,
1360865971,,,,,,
1361187888,,,,,,
1361117945,,,,,,
1356797976,,,,,,
1363556673,,,,,,
1367064920,,,,,,
1367868678,,,,,,
1354358188,,,,,,
1355576512,,,,,,
1360477288,,,,,,
1360477317,,,,,,
1354735454,,,,,,
1354718769,,,,,,
1385777979,,,,,,
1386173102,,,,,,
1386052393,,,,,,
1389791004,,,,,,
1389341046,,,,,,
1389340831,,,,,,
1389340823,,,,,,
1389772027,,,,,,
1390249698,,,,,,
1390729886,,,,,,
1392203712,1392781988,0.6551364064216614,possible,,_source.text,_source.summary
1393100534,,,,,,
1393549179,,,,,,
1393177608,,,,,,
1395774236,,,,,,
1397531343,,,,,,
1397535556,,,,,,
1401099743,,,,,,
1401216983,,,,,,
1401244133,,,,,,
1401851838,1404902798,0.8491824269294739,likely,,_source.text,_source.text
1398185359,,,,,,
1398261362,,,,,,
1391479207,1394607370,0.7407833933830261,possible,,_source.text,_source.text
1407062959,,,,,,
1407063464,,,,,,
1409640927,,,,,,
1409696204,,,,,,
1412819207,,,,,,
1403120720,1406120237,0.7523557543754578,likely,,_source.text,_source.text
1403427108,,,,,,
1403445244,,,,,,
1404909481,1406920046,0.6873028874397278,possible,,_source.text,_source.text
1413707142,,,,,,
1417484165,,,,,,
1412556413,,,,,,
1418093433,,,,,,
1417753151,,,,,,
1421402568,,,,,,
1423056180,,,,,,
1360345822,,,,,,
1357384455,,,,,,
1363188387,,,,,,
1363267612,,,,,,
1361521115,,,,,,
1361725045,,,,,,
1359828383,,,,,,
1359848634,,,,,,
1361968463,,,,,,
1360477306,,,,,,
1365399591,,,,,,
1367046231,,,,,,
1355296457,,,,,,
1355849365,,,,,,
1355500496,,,,,,
1354735473,,,,,,
1353328398,,,,,,
1372867433,,,,,,
1371565289,,,,,,
1371608878,,,,,,
1371119152,,,,,,
1370021704,,,,,,
1370105247,,,,,,
1370951438,1408964802,0.6029235124588013,possible,,_source.pretext,_source.text
1378961840,,,,,,
1368819875,,,,,,
1368819882,,,,,,
1368616046,,,,,,
1380695119,1394011282,0.6461883783340454,possible,,_source.text,_source.text
1380453505,,,,,,
1379746808,,,,,,
1379747195,,,,,,
1381264035,,,,,,
1385051637,,,,,,
1385778325,,,,,,
1385778343,,,,,,
1330315630,,,,,,
1329987328,,,,,,
1331447278,,,,,,
1332980221,,,,,,
1332296839,1402395933,0.6703829765319824,possible,,_source.text,_source.text
1331804616,,,,,,
1333685207,,,,,,
1332470727,,,,,,
1340883908,,,,,,
1340883935,1399501897,0.6915156245231628,possible,,_source.pretext,_source.text
1340883902,,,,,,
1339588895,,,,,,
1344752514,,,,,,
1345917423,,,,,,
1346279732,,,,,,
1347748756,,,,,,
1348503953,1419867214,0.6249464750289917,possible,,_source.text,_source.text
1350084116,,,,,,
1351993574,,,,,,
1352027870,,,,,,
1352369709,,,,,,
1352742278,,,,,,
1352762592,,,,,,
1330315563,1422690131,0.6127912402153015,possible,,_source.text,_source.summary
1331447268,,,,,,
1331445690,,,,,,
1331869370,1331813371,0.7089152932167053,possible,,_source.text,_source.text
1332470721,,,,,,
1334785022,,,,,,
1328073053,,,,,,
1335430029,,,,,,
1331993679,,,,,,
1325957373,,,,,,
1342143809,,,,,,
1344570970,,,,,,
1345113245,,,,,,
1345613413,,,,,,
1338609476,,,,,,
1339254461,,,,,,
1340883924,,,,,,
1341511261,1417866220,0.6134393215179443,possible,,_source.text,_source.text
1348311911,,,,,,
1337419573,,,,,,
1338171133,,,,,,
1337464139,,,,,,
1351939633,,,,,,
1352106711,,,,,,
1331288277,,,,,,
1334734214,,,,,,
1333670955,,,,,,
1326907836,,,,,,
1327134213,,,,,,
1330315644,,,,,,
1329716034,,,,,,
1324592237,,,,,,
1324664290,,,,,,
1339335240,,,,,,
1339073309,,,,,,
1346264366,1409064269,0.7749956846237183,likely,,_source.pretext,_source.text
1337956250,,,,,,
1338189810,,,,,,
1338194061,,,,,,
1338063731,,,,,,
1347085227,,,,,,
1337424765,,,,,,
1337352649,1407565979,0.7845295667648315,likely,,_source.text,_source.text
1349489286,,,,,,
1349498327,,,,,,
1351807815,,,,,,
1293824536,1299001333,0.812129557132721,likely,,_source.text,_source.text
1303853081,,,,,,
1304927388,,,,,,
1304752044,,,,,,
1307786146,1309566582,0.7291792035102844,possible,,_source.text,_source.text
1307753818,,,,,,
1307939962,1311946125,0.6499940752983093,possible,,_source.text,_source.text
1293729586,,,,,,
1293704664,,,,,,
1316749547,,,,,,
1317731315,,,,,,
1317984704,,,,,,
1316938825,,,,,,
1316938824,,,,,,
1316749525,1349801862,0.7986734509468079,likely,,_source.text,_source.text
1315262851,,,,,,
1311623325,1323726682,0.651350200176239,possible,,_source.text,_source.text
1309162685,1308293722,0.8775631189346313,likely,,_source.text,_source.text
1312042006,,,,,,
1319951417,,,,,,
1319573683,,,,,,
1322347133,,,,,,
1323255871,1394011282,0.6646712422370911,possible,,_source.text,_source.text
1360189903,,,,,,
1361438209,,,,,,
1359936919,,,,,,
1362114495,,,,,,
1361647090,,,,,,
1363337060,,,,,,
1363337059,,,,,,
1363720258,,,,,,
